name;region;population;lat;lon
Москва;Москва;13010112;55.7540584;37.62049
Санкт-Петербург;Санкт-Петербург;5601911;59.9390012;30.3158184
г. Новосибирск;Новосибирская область;1633595;55.030187;82.920426
г. Екатеринбург;Свердловская область;1544376;56.8387061;60.6054943
г. Казань;Республика Татарстан;1308660;55.7944326;49.1115164
г. Нижний Новгород;Нижегородская область;1226076;56.326794;44.006495
г. Челябинск;Челябинская область;1189525;55.1602292;61.4007614
г. Красноярск;Красноярский край;1187771;56.0095312;92.8525234
г. Самара;Самарская область;1173299;53.1951774;50.1069625
г. Уфа;Республика Башкортостан;1144809;54.734856;55.9577802
г. Ростов-на-Дону;Ростовская область;1142162;47.2180329;39.6902714
г. Омск;Омская область;1125695;54.9849581;73.3675684
г. Краснодар;Краснодарский край;1099344;45.035453;38.975301
г. Воронеж;Воронежская область;1057681;51.6593943;39.196922
г. Пермь;Пермский край;1034002;58.0102668;56.2342725
г. Волгоград;Волгоградская область;1028036;48.7071653;44.5170212
г. Саратов;Саратовская область;901361;51.533557;46.034257
г. Тюмень;Тюменская область;847488;57.1531178;65.5343535
г. Тольятти;Самарская область;684709;53.5205003;49.3895011
г. Барнаул;Алтайский край;630877;53.3479774;83.7798977
г. Ижевск;Удмуртская Республика;623472;56.8528384;53.211509
г. Махачкала;Республика Дагестан;623254;42.9849039;47.5045541
г. Хабаровск;Хабаровский край;617441;48.4648124;135.0598539
г. Ульяновск;Ульяновская область;617352;54.3079032;48.3748473
г. Иркутск;Иркутская область;617264;52.2863483;104.2806793
г. Владивосток;Приморский край;603519;43.1163208;131.8824988
г. Ярославль;Ярославская область;577279;57.6216293;39.8978921
г. Кемерово;Кемеровская область;557119;55.3910176;86.0469193
г. Томск;Томская область;556478;56.4846736;84.9482929
г. Набережные Челны;Республика Татарстан;548434;55.6948843;52.3279115
Севастополь;Севастополь;547820;44.6167087;33.5253617
г. Ставрополь;Ставропольский край;547443;45.0444563;41.9691349
г. Оренбург;Оренбургская область;543654;51.7875335;55.1017803
г. Новокузнецк;Кемеровская область;537480;53.7943459;87.2142908
г. Рязань;Рязанская область;528599;54.6255345;39.7359162
г. Балашиха;Московская область;520962;55.796991;37.938104
г. Пенза;Пензенская область;501109;53.1753947;45.0347408
г. Чебоксары;Чувашская Республика;497807;56.125485;47.377328
г. Липецк;Липецкая область;496403;52.6101389;39.5947287
г. Калининград;Калининградская область;490449;54.7074298;20.5073482
г. Астрахань;Астраханская область;475629;46.3656435;48.0559229
г. Тула;Тульская область;473622;54.1918898;37.6153644
г. Киров;Кировская область;468212;58.6034972;49.6680445
г. Сочи;Краснодарский край;466078;43.5855182;39.7229922
г. Курск;Курская область;440052;51.7303825;36.1925546
г. Улан-Удэ;Республика Бурятия;437565;51.8334492;107.584068
г. Тверь;Тверская область;416219;56.8586556;35.9118279
г. Магнитогорск;Челябинская область;410594;53.4072599;58.9791822
г. Сургут;Ханты-Мансийский автономный округ — Югра;396443;61.2541492;73.396236
г. Брянск;Брянская область;379152;53.2420053;34.3653002
г. Иваново;Ивановская область;361644;56.9994066;40.9729071
г. Якутск;Республика Саха (Якутия);355443;62.0280605;129.7324858
г. Владимир;Владимирская область;349951;56.1280444;40.4082983
г. Симферополь;Республика Крым;340540;44.9482789;34.1001275
г. Белгород;Белгородская область;339978;50.5975582;36.5858422
г. Нижний Тагил;Свердловская область;338966;57.9102289;59.9814188
г. Калуга;Калужская область;337058;54.506025;36.2516145
г. Чита;Забайкальский край;334427;52.0338828;113.499487
г. Грозный;Чеченская Республика;328533;43.3178923;45.6981421
г. Волжский;Волгоградская область;321479;48.7979775;44.7462572
город Смоленск;Смоленская область;316570;54.782635;32.045251
г. Подольск;Московская область;314934;55.4389616;37.5703052
г. Саранск;Республика Мордовия;314871;54.1808234;45.1863143
г. Вологда;Вологодская область;313944;59.220501;39.891523
г. Курган;Курганская область;310911;55.4443683;65.3162142
г. Череповец;Вологодская область;305185;59.1268743;37.9090556
г. Орёл;Орловская область;303169;52.9671928;36.0695725
г. Архангельск;Архангельская область;301199;64.53939;40.5170011
г. Владикавказ;Республика Северная Осетия — Алания;295830;43.020552;44.681905
г. Нижневартовск;Ханты-Мансийский автономный округ — Югра;283256;60.9397399;76.5695505
г. Йошкар-Ола;Республика Марий Эл;281248;56.6343266;47.8999167
г. Стерлитамак;Республика Башкортостан;277410;53.6302062;55.9317313
г. Мурманск;Мурманская область;270384;68.970663;33.074918
г. Кострома;Костромская область;267481;57.768;40.927
г. Новороссийск;Краснодарский край;262293;44.7234226;37.7686906
г. Тамбов;Тамбовская область;261803;52.7211576;41.4522156
г. Химки;Московская область;257128;55.8888467;37.430372
г. Мытищи;Московская область;255429;55.9104655;37.7363923
г. Нальчик;Кабардино-Балкарская Республика;247054;43.4846449;43.6070943
г. Таганрог;Ростовская область;245120;47.2096599;38.9352459
г. Нижнекамск;Республика Татарстан;241479;55.6312304;51.8144719
г. Благовещенск;Амурская область;241437;50.290659;127.527198
г. Комсомольск-на-Амуре;Хабаровский край;238505;50.5525092;136.9895507
г. Петрозаводск;Республика Карелия;234897;61.7889739;34.3596538
г. Королёв;Московская область;228095;55.9161885;37.854422
г. Шахты;Ростовская область;226452;47.7085649;40.2158665
г. Энгельс;Саратовская область;225428;51.4855068;46.1267008
г. Великий Новгород;Новгородская область;224286;58.5214164;31.2754186
г. Люберцы;Московская область;224195;55.676499;37.898125
г. Братск;Иркутская область;224071;56.1514087;101.6341027
г. Старый Оскол;Белгородская область;221676;51.297974;37.833231
город Ангарск;Иркутская область;221296;52.544898;103.8884509
г. Сыктывкар;Республика Коми;220580;61.6687212;50.8356788
г. Дзержинск;Нижегородская область;218630;56.2375332;43.4598979
г. Псков;Псковская область;193082;57.819825;28.3950685
г. Орск;Оренбургская область;189195;51.2292952;58.4752502
г. Красногорск;Московская область;187634;55.8318647;37.3294489
г. Армавир;Краснодарский край;187177;45.0011356;41.1324283
г. Абакан;Республика Хакасия;184769;53.7223055;91.4436926
г. Балаково;Саратовская область;184466;52.0222817;47.7827796
г. Бийск;Алтайский край;183852;52.5392784;85.213843
г. Южно-Сахалинск;Сахалинская область;181587;46.9667029;142.7212958
г. Одинцово;Московская область;180530;55.6790296;37.2635177
г. Уссурийск;Приморский край;180393;43.8048438;131.9367538
г. Прокопьевск;Кемеровская область;177819;53.8604228;86.7183302
г. Рыбинск;Ярославская область;177295;58.0484021;38.858475
г. Норильск;Красноярский край;174453;69.3489906;88.2009379
г. Волгодонск;Ростовская область;168048;47.5165757;42.1984573
г. Сызрань;Самарская область;165725;53.1557162;48.4744217
г. Петропавловск-Камчатский;Камчатский край;164900;53.0370074;158.65595
г. Каменск-Уральский;Свердловская область;164192;56.4148539;61.9188448
г. Новочеркасск;Ростовская область;163674;47.4118469;40.1040646
г. Альметьевск;Республика Татарстан;163512;54.9014385;52.297123
г. Златоуст;Челябинская область;161774;55.1714213;59.6726478
г. Северодвинск;Архангельская область;157213;64.5625626;39.8182183
г. Хасавюрт;Республика Дагестан;155144;43.2504341;46.5850867
г. Керчь;Республика Крым;154621;45.3561252;36.4673129
г. Домодедово;Московская область;152404;55.436403;37.7666001
г. Салават;Республика Башкортостан;148575;53.362823;55.9154367
г. Миасс;Челябинская область;147995;55.0552642;60.0791765
г. Копейск;Челябинская область;147806;55.1167381;61.6179305
г. Пятигорск;Ставропольский край;146473;44.041234;43.0660504
г. Электросталь;Московская область;146403;55.784633;38.444699
г. Майкоп;Республика Адыгея;143385;44.609792;40.1005698
г. Находка;Приморский край;139931;42.8111483;132.8844502
г. Березники;Пермский край;138069;59.4079119;56.8039179
г. Коломна;Московская область;134850;55.1026926;38.7530213
г. Щёлково;Московская область;134211;55.9233436;37.9783923
г. Серпухов;Московская область;133793;54.9226176;37.4033624
г. Ковров;Владимирская область;132417;56.3554229;41.3171096
г. Нефтекамск;Республика Башкортостан;131942;56.0883752;54.2482411
г. Кисловодск;Ставропольский край;127521;43.9052745;42.7167964
г. Батайск;Ростовская область;126988;47.1382139;39.750662
г. Рубцовск;Алтайский край;126834;51.5012963;81.2078042
г. Обнинск;Калужская область;125376;55.0944881;36.6121565
г. Кызыл;Республика Тыва;125241;51.7190588;94.4376984
г. Дербент;Республика Дагестан;124953;42.0590354;48.2908599
г. Нефтеюганск;Ханты-Мансийский автономный округ — Югра;124732;61.0881688;72.6163369
г. Назрань;Республика Ингушетия;122350;43.2256598;44.7646901
г. Каспийск;Республика Дагестан;121140;42.8916263;47.6366936
г. Долгопрудный;Московская область;120907;55.9385975;37.5100337
г. Новочебоксарск;Чувашская Республика;120375;56.1095538;47.4791596
г. Новомосковск;Тульская область;119697;54.010957;38.2915047
г. Ессентуки;Ставропольский край;119658;44.0444693;42.8589782
г. Невинномысск;Ставропольский край;117562;44.6226742;41.9476424
г. Октябрьский;Республика Башкортостан;115557;54.4814637;53.4654836
г. Раменское;Московская область;114537;55.5495378;38.2728835
г. Первоуральск;Свердловская область;114450;56.9080096;59.9429936
г. Михайловск;Ставропольский край;114133;45.1297467;42.0287477
г. Реутов;Московская область;113871;55.7582708;37.8618288
г. Черкесск;Карачаево-Черкесская Республика;113226;44.228353;42.048278
г. Жуковский;Московская область;111222;55.5999747;38.1224066
г. Димитровград;Ульяновская область;110968;54.2168413;49.6262388
г. Пушкино;Московская область;110868;56.0104754;37.847161
г. Артем;Приморский край;109556;43.3501868;132.1595835
г. Камышин;Волгоградская область;107927;50.0652955;45.384535
г. Евпатория;Республика Крым;107877;45.190629;33.367634
г. Муром;Владимирская область;107497;55.563153;42.0230298
г. Ханты-Мансийск;Ханты-Мансийский автономный округ — Югра;107473;61.0025598;69.0183366
г. Новый Уренгой;Ямало-Ненецкий автономный округ;107251;66.0839904;76.6810104
г. Северск;Томская область;106648;56.6032343;84.881027
г. Орехово-Зуево;Московская область;105745;55.8164825;38.9368137
г. Арзамас;Нижегородская область;104908;55.3946343;43.8408135
г. Ногинск;Московская область;103891;55.8760353;38.4231801
г. Новошахтинск;Ростовская область;103480;47.7576743;39.9364541
г. Бердск;Новосибирская область;102850;54.7582184;83.1071527
г. Элиста;Республика Калмыкия;102583;46.30821;44.2702746
г. Сергиев Посад;Московская область;101756;56.3063854;38.1502956
г. Видное;Московская область;101490;55.5517857;37.7062236
г. Ачинск;Красноярский край;100621;56.2537315;90.4793969
г. Тобольск;Тюменская область;100352;58.2017257;68.2538473
г. Ноябрьск;Ямало-Ненецкий автономный округ;100188;63.1920786;75.4454918
г. Елец;Липецкая область;99875;52.6152577;38.528899
г. Зеленодольск;Республика Татарстан;99137;55.8465861;48.500966
г. Новокуйбышевск;Самарская область;98306;53.0994719;49.9477255
г. Воткинск;Удмуртская Республика;97471;57.0518828;53.9874914
г. Железногорск;Курская область;97038;52.3379241;35.3517678
г. Междуреченск;Кемеровская область;96174;53.6865918;88.0702782
г. Воскресенск;Московская область;95495;55.3070155;38.7028385
г. Гатчина;Ленинградская область;94377;59.5651362;30.1281234
г. Серов;Свердловская область;94211;59.6047459;60.5752389
г. Саров;Нижегородская область;93357;54.922813;43.3447953
г. Ленинск-Кузнецкий;Кемеровская область;92244;54.6674801;86.1796673
г. Сарапул;Удмуртская Республика;91115;56.4616582;53.8036826
г. Магадан;Магаданская область;90757;59.5681947;150.8086939
г. Мичуринск;Тамбовская область;90451;52.8913406;40.5103713
г. Соликамск;Пермский край;89473;59.6483298;56.7710196
г. Мурино;Ленинградская область;89083;60.0448984;30.4573012
г. Чехов;Московская область;89025;55.1506335;37.4532854
г. Клин;Московская область;88511;56.3424345;36.7240443
г. Бузулук;Оренбургская область;88341;52.7881715;52.2623964
г. Глазов;Удмуртская Республика;87762;58.1359039;52.6634921
г. Канск;Красноярский край;86816;56.2050971;95.7051994
г. Великие Луки;Псковская область;86711;56.343703;30.515671
г. Каменск-Шахтинский;Ростовская область;86365;48.3204742;40.2689608
г. Губкин;Белгородская область;85225;51.2836227;37.5347995
г. Киселевск;Кемеровская область;83431;54.0383268;86.6605444
г. Ейск;Краснодарский край;82943;46.7114714;38.2764767
г. Ивантеевка;Московская область;82827;55.9741839;37.9208717
г. Лобня;Московская область;82764;56.0328978;37.4614808
г. Железногорск;Красноярский край;82723;56.2528775;93.532226
г. Азов;Ростовская область;81924;47.1122112;39.4233596
г. Анапа;Краснодарский край;81863;44.8948984;37.3162896
г. Бугульма;Республика Татарстан;81677;54.5364489;52.7894083
г. Московский;Москва;81309;55.597255;37.359448
г. Геленджик;Краснодарский край;80204;44.5631183;38.0791049
г. Ухта;Республика Коми;79899;63.5563841;53.7013827
г. Юрга;Кемеровская область;79693;55.7202352;84.8885927
г. Усть-Илимск;Иркутская область;79570;58.0189147;102.6855314
г. Всеволожск;Ленинградская область;79038;60.0190286;30.6456654
г. Новоуральск;Свердловская область;78479;57.2472236;60.0955422
г. Кузнецк;Пензенская область;78390;53.1130584;46.6052642
г. Бор;Нижегородская область;78372;56.3565886;44.0645547
г. Кинешма;Ивановская область;77694;57.442535;42.1689258
г. Озерск;Челябинская область;76896;55.7632143;60.7076521
г. Новотроицк;Оренбургская область;75960;51.1963401;58.3017089
г. Кропоткин;Краснодарский край;75858;45.4332835;40.5728945
г. Чайковский;Пермский край;75837;56.7780683;54.1477844
г. Черногорск;Республика Хакасия;75745;53.8258374;91.3259463
г. Усолье-Сибирское;Иркутская область;74762;52.7566823;103.6387415
г. Ялта;Республика Крым;74652;44.4952969;34.1663516
г. Дубна;Московская область;74183;56.7416155;37.1756531
г. Балашов;Саратовская область;74057;51.5388261;43.1839668
посёлок Коммунарка;Москва;73735;55.570388;37.475469
г. Елабуга;Республика Татарстан;73630;55.7566788;52.0545017
г. Новоалтайск;Алтайский край;73049;53.4120027;83.9309813
г. Выборг;Ленинградская область;72530;60.7129589;28.7328799
г. Егорьевск;Московская область;71686;55.3831202;39.0358883
г. Верхняя Пышма;Свердловская область;71335;56.9758868;60.5649684
г. Наро-Фоминск;Московская область;71121;55.386185;36.734484
г. Минеральные Воды;Ставропольский край;70485;44.2087295;43.1383447
г. Троицк;Челябинская область;70301;54.0843322;61.5587093
г. Чапаевск;Самарская область;70228;52.929023;49.8673246
г. Минусинск;Красноярский край;70089;53.7104585;91.6871667
г. Биробиджан;Еврейская автономная область;70064;48.7946217;132.9217228
г. Шадринск;Курганская область;68609;56.0871041;63.6297172
г. Белово;Кемеровская область;68542;54.4221568;86.3037406
г. Туймазы;Республика Башкортостан;68349;54.5999395;53.6950191
г. Сертолово;Ленинградская область;68241;60.1446697;30.209571
г. Буйнакск;Республика Дагестан;68121;42.8213541;47.116407
г. Ишим;Тюменская область;67614;56.1104734;69.4797226
г. Кирово-Чепецк;Кировская область;66651;58.5560037;50.0317344
г. Анжеро-Судженск;Кемеровская область;66583;56.0787454;86.0200409
г. Феодосия;Республика Крым;66293;45.0320187;35.382384
г. Дмитров;Московская область;65574;56.3476745;37.5266195
г. Сосновый Бор;Ленинградская область;65367;59.904224;29.092209
г. Горно-Алтайск;Республика Алтай;65342;51.9581885;85.9603499
г. Лыткарино;Московская область;65212;55.5778267;37.9034779
г. Павловский Посад;Московская область;65098;55.780723;38.6596371
г. Троицк;Москва;65043;55.4844981;37.3067485
г. Белорецк;Республика Башкортостан;64525;53.967626;58.4100433
г. Ступино;Московская область;64412;54.886274;38.078228
г. Гудермес;Чеченская Республика;64376;43.3518339;46.1034832
г. Ишимбай;Республика Башкортостан;64041;53.4545688;56.0440089
г. Донской;Тульская область;63837;53.9678617;38.3372254
г. Котельники;Московская область;63728;55.6599375;37.8631583
г. Кстово;Нижегородская область;63646;56.1432079;44.1663972
г. Урус-Мартан;Чеченская Республика;63449;43.120175;45.539276
г. Георгиевск;Ставропольский край;63221;44.14794;43.474254
г. Клинцы;Брянская область;63059;52.752875;32.2337792
г. Нягань;Ханты-Мансийский автономный округ — Югра;63034;62.1454886;65.3945936
г. Славянск-на-Кубани;Краснодарский край;62985;45.2604694;38.1259659
г. Кунгур;Пермский край;62673;57.4284056;56.9438416
город Сунжа;Республика Ингушетия;62078;43.3203629;45.0477848
г. Туапсе;Краснодарский край;61571;44.1104007;39.0825379
г. Когалым;Ханты-Мансийский автономный округ — Югра;61441;62.2639797;74.482946
г. Белогорск;Амурская область;61440;50.921219;128.4737866
г. Лениногорск;Республика Татарстан;60993;54.5966119;52.4433347
город Россошь;Воронежская область;60879;50.1701985;39.6226453
г. Алексин;Тульская область;60842;54.5084968;37.0478364
г. Кудрово;Ленинградская область;60791;59.9076688;30.5119611
г. Борисоглебск;Воронежская область;60687;51.3654207;42.1009542
г. Фрязино;Московская область;60580;55.9589291;38.0409827
г. Гуково;Ростовская область;60361;48.0450292;39.9485638
г. Ревда;Свердловская область;60200;56.7987642;59.9071644
г. Прохладный;Кабардино-Балкарская Республика;59938;43.7590107;44.010051
г. Березовский;Свердловская область;59698;56.9136462;60.7852371
г. Белебей;Республика Башкортостан;59195;54.1034535;54.1112181
г. Чистополь;Республика Татарстан;58815;55.3699331;50.6285823
г. Заречный;Пензенская область;58510;53.1961885;45.1691136
г. Будённовск;Ставропольский край;58103;44.781467;44.164948
г. Кумертау;Республика Башкортостан;57949;52.756471;55.7970469
г. Сальск;Ростовская область;57937;46.475234;41.541039
г. Дзержинский;Московская область;57918;55.6241057;37.8441593
г. Лабинск;Краснодарский край;57428;44.6354147;40.7244209
г. Асбест;Свердловская область;57317;57.0052534;61.4581769
г. Искитим;Новосибирская область;57147;54.626704;83.2949994
г. Павлово;Нижегородская область;57116;55.965103;43.064848
г. Александров;Владимирская область;57053;56.3918756;38.7110582
г. Воркута;Республика Коми;56985;67.497434;64.0611813
г. Щербинка;Москва;56531;55.50868;37.5633253
г. Сибай;Республика Башкортостан;56514;52.7204622;58.6663921
г. Мелеуз;Республика Башкортостан;56505;52.9589874;55.9282514
г. Котлас;Архангельская область;56093;61.2528975;46.6332216
г. Михайловка;Волгоградская область;56031;50.0708708;43.2401092
г. Избербаш;Республика Дагестан;55996;42.5652081;47.8710684
г. Краснотурьинск;Свердловская область;55875;59.7638319;60.1935754
г. Белореченск;Краснодарский край;55870;44.7652692;39.8781164
г. Ржев;Тверская область;55757;56.2629154;34.3290948
г. Лесосибирск;Красноярский край;55730;58.2216981;92.503692
г. Тихорецк;Краснодарский край;55686;45.8546923;40.1258776
г. Тихвин;Ленинградская область;55415;59.644619;33.54193
г. Шуя;Ивановская область;55225;56.8507513;41.3516168
г. Полевской;Свердловская область;55182;56.4958618;60.2366252
г. Щекино;Тульская область;55109;54.0021718;37.5177177
г. Шали;Чеченская Республика;55054;43.1487442;45.9010465
г. Вольск;Саратовская область;55035;52.0459603;47.3873
г. Крымск;Краснодарский край;54597;44.9343723;37.9854857
пгт Яблоновский;Республика Адыгея;54291;44.981266;38.936362
г. Зеленогорск;Красноярский край;54279;56.1133542;94.5889359
г. Лиски;Воронежская область;54147;50.9945381;39.5183454
г. Черемхово;Иркутская область;53958;53.1233358;103.1574108
г. Лысьва;Пермский край;53855;58.0996742;57.8087369
г. Нерюнгри;Республика Саха (Якутия);53409;56.6599502;124.7201885
г. Волжск;Республика Марий Эл;53013;55.8623164;48.3715777
г. Мегион;Ханты-Мансийский автономный округ — Югра;52887;61.0318864;76.102504
г. Вязьма;Смоленская область;51950;55.2116645;34.2952096
г. Тимашевск;Краснодарский край;51858;45.6158949;38.9351457
г. Гусь-Хрустальный;Владимирская область;51552;55.6199041;40.6578219
г. Краснокаменск;Забайкальский край;51137;50.09868;118.034118
г. Кириши;Ленинградская область;51028;59.449699;32.008705
пгт Нахабино рп;Московская область;50916;55.840381;37.175899
г. Снежинск;Челябинская область;50619;56.0852853;60.73251
